,England,Scotland,Wales ,Northern Ireland,UK
06/03/2020,1,0,0,0,1
07/03/2020,2,0,0,0,2
08/03/2020,2,0,0,0,2
09/03/2020,3,0,0,0,3
10/03/2020,6,0,0,0,6
11/03/2020,6,0,0,0,6
12/03/2020,8,0,0,0,8
13/03/2020,10,0,0,0,10
14/03/2020,20,1,0,0,21
15/03/2020,34,1,0,0,35
16/03/2020,53,1,1,0,55
17/03/2020,67,2,2,0,71
18/03/2020,98,3,2,0,103
19/03/2020,135,6,2,1,144
20/03/2020,167,6,3,1,177
21/03/2020,222,7,3,1,233
22/03/2020,257,10,12,2,281
23/03/2020,303,14,16,2,335
24/03/2020,385,16,17,4,422
25/03/2020,412,22,22,7,463
26/03/2020,515,25,28,10,578
27/03/2020,679,33,34,13,759
28/03/2020,926,40,38,15,1019
29/03/2020,1125,40,48,15,1228
30/03/2020,1284,41,62,21,1408
31/03/2020,1651,47,69,22,1789
01/04/2020,2166,60,98,28,2352
02/04/2020,2698,76,117,30,2921
03/04/2020,3302,126,141,36,3605
04/04/2020,3939,172,154,48,4313
05/04/2020,4494,218,166,56,4934